Gene,D-Saccharic Acid,D-Arabinose,Pyruvic Acid,Citric Acid,D-Glucose-1-Phosphate,Uni,L-Methionine,Pyruvic Acid,M-Tartaric Acid,L-Threonine,L-Arginine,L-Ornithine,L-Isoleucine,Uni,D-Sorbitol,Uridine,Glycolic Acid,Adenosine,L-Rhamnose,L-Lysine,D-Saccharic Acid,L-Serine,Butyric Acid,Uni,D-Mannitol,Maltose,Sucrose,D-Trehalose,Glycogen,Uni,D-Galactose,D-Alanine,Propionic Acid,D-Ribose,Tyramine,D-Gluconic Acid,Succinic Acid,Lactic Acid,Fructose,Acetamide,Uni,L-Proline,Dextrin,Citriconic Acid,L-Valine,Thymadine,N-Acetyl-D-Glucosamine,D-Glucosamnic Acid,L-Phenylalanine,L-Asparagine,Uni,L-Alanine,Acetic Acid
0048,73,12.04162369,113,18.27118174,104,103,160,71,108,185,114,76,72,98,161,229,229,136,108,125,66,75,80,97,89,73,128,110,105,46,71,58,82,10,176,71,126,63,91,28,57,121,156,66,107,269,79,68,75,73,91,56,111
0050,33,5.293407184,47,7.724255297,32,27,40,22,44,65,50,42,29,54,52,86,94,58,54,47,28,43,37,37,40,38,64,53,61,25,32,16,27,8,43,39,39,27,47,19,21,24,54,37,40,112,39,26,24,28,35,29,62
lapD,84,9.650225959,84,12.29547936,102,90,94,71,116,146,112,78,77,81,101,143,163,167,151,101,90,81,104,86,110,95,100,78,178,33,49,50,78,13,93,93,100,62,112,37,52,49,145,68,122,201,88,93,86,80,64,81,119
0190,67,11.51153935,90,10.47805092,90,45,102,33,315,196,48,51,33,115,95,96,101,61,36,83,40,43,40,38,48,31,49,36,78,39,129,35,37,20,142,42,60,41,48,13,23,20,71,62,43,144,51,33,17,42,112,27,108
0192,35,4.142412351,40,7.798347862,41,38,41,39,146,62,38,29,32,42,47,59,75,69,46,43,52,46,46,30,46,34,46,40,89,14,62,28,33,3,51,49,55,22,39,6,8,23,52,38,53,79,34,23,24,36,31,29,56
0264,194,22.17430734,242,38.34518156,184,184,219,127,322,337,230,136,155,171,218,308,329,262,218,193,122,150,140,160,154,150,173,196,302,84,126,88,106,28,218,120,200,118,189,49,83,74,188,130,187,348,157,100,108,129,154,91,182
0460,463,59.52436292,546,59.55889471,540,451,448,369,754,618,503,348,425,406,677,784,817,911,665,418,319,487,514,420,493,462,470,485,888,180,292,225,372,48,639,383,586,309,580,164,248,344,579,349,478,956,409,278,384,360,398,365,667
gcbA,128,17.51810124,142,20.52988515,102,136,197,127,173,313,143,149,137,205,311,329,327,227,150,202,154,174,156,168,159,164,171,130,110,95,183,99,143,33,245,116,193,93,125,56,121,79,281,157,184,427,217,96,76,101,235,143,214
0692,20,3.271332211,19,2.682983473,28,26,31,22,26,46,17,18,16,23,35,58,62,52,23,20,14,20,25,26,28,27,28,26,25,16,15,12,16,8,28,17,23,16,21,6,13,14,50,19,23,54,17,14,15,17,29,17,35
wspR,215,23.87167712,227,35.40026558,173,201,191,158,307,326,264,167,163,189,236,289,443,343,255,182,172,222,210,148,229,200,205,235,382,100,124,97,159,36,218,187,213,146,303,59,96,104,289,191,207,460,171,137,152,176,144,139,217
1252,4,0.787690256,6,0.407285144,7,6,4,3,7,9,7,1,2,1,8,6,6,9,3,3,2,2,4,5,7,8,4,6,4,1,4,3,1,1,5,7,3,2,1,1,4,2,7,5,1,8,3,3,3,1,5,2,3
1323,65,8.756837037,88,14.49142015,81,77,102,78,179,116,102,63,53,63,98,118,163,151,88,82,57,64,68,66,89,79,70,97,157,32,58,34,51,8,104,67,86,55,99,24,33,38,93,61,78,147,63,45,57,60,58,59,100
1336,138,12.12501358,128,11.81976662,82,58,81,52,102,181,101,65,62,111,184,195,197,134,77,113,53,68,60,70,86,55,88,85,68,33,39,39,48,6,150,57,92,52,66,14,18,28,125,74,73,244,71,39,38,48,81,49,124
rapA,14,2.592349713,19,16.66186857,20,20,26,6,43,40,25,18,7,19,19,27,38,27,22,20,10,8,17,15,18,15,18,17,31,10,26,7,12,1,41,15,17,12,18,14,8,10,29,21,20,32,17,13,9,22,16,7,19
gcbB,71,8.456031638,71,7.738417727,52,48,65,34,119,103,52,30,70,71,101,133,104,75,43,48,20,44,37,59,44,44,68,48,27,29,23,24,34,8,81,28,45,43,44,15,17,30,69,74,40,111,48,19,37,37,66,33,44
1887,117,19.84841787,218,16.79022629,179,180,200,138,129,308,156,133,132,167,233,290,300,191,182,215,102,160,144,151,136,155,153,189,273,64,82,74,123,18,171,122,208,130,165,51,103,105,232,98,182,363,158,99,132,131,145,131,218
2049,167,27.79525587,218,23.36388624,174,210,256,180,710,410,178,118,126,146,260,434,522,326,232,206,110,115,156,171,174,166,206,229,390,74,132,75,129,31,262,141,165,144,180,85,112,70,243,103,169,435,180,89,88,119,157,109,186
2170,10,1.713833313,14,1.708898111,18,11,23,13,58,29,13,19,13,9,16,30,44,21,14,18,11,15,10,13,12,16,16,21,22,5,21,15,7,1,26,14,18,12,22,2,4,6,17,19,20,28,15,8,10,15,10,13,19
2176,32,7.413744562,72,7.539247849,60,60,92,66,50,100,58,64,56,62,82,121,137,93,92,67,36,43,52,51,44,47,84,83,90,36,32,44,40,9,62,42,70,55,65,41,26,33,92,44,62,164,76,39,33,38,51,41,68
2295,27,3.278768472,21,6.43680476,24,27,19,23,63,33,26,14,25,38,16,42,38,41,30,19,24,24,29,15,26,23,18,24,43,9,13,6,10,2,29,19,42,19,36,6,11,9,38,25,34,44,28,15,21,19,29,17,39
2297,10,0.613474228,12,1.549383037,13,6,11,12,29,14,13,7,6,11,10,18,30,16,12,10,5,7,5,6,14,11,5,15,27,5,3,1,10,1,10,5,10,5,8,1,3,5,15,4,12,34,11,1,8,10,10,7,15
2525,23,1.408600745,18,2.440878375,25,23,18,18,92,32,24,8,14,24,18,24,24,29,19,28,23,18,19,13,12,27,24,21,35,11,19,14,11,3,41,13,27,20,13,9,4,11,30,20,26,35,22,12,14,16,15,6,40
2709,25,3.801416556,40,3.725496427,33,20,26,20,33,41,35,27,25,27,38,58,53,34,46,38,14,31,28,33,29,19,31,33,35,15,16,12,25,5,32,18,39,23,32,12,19,25,51,17,34,74,33,18,17,19,17,13,31
2920,33,5.674593375,40,5.68782958,43,43,44,26,50,62,49,35,36,23,45,48,86,50,58,44,18,32,34,26,42,29,24,39,77,15,23,13,25,2,45,32,36,28,40,15,20,20,40,26,25,75,28,25,20,31,28,27,41
3039,1,1.416037006,8,1.384202991,10,11,9,3,19,10,5,5,3,7,5,13,12,13,6,8,4,8,5,4,6,6,7,5,13,3,5,1,4,1,7,10,7,4,4,2,5,7,11,4,6,8,7,4,3,4,6,5,10
3508,10,0.613474228,10,1.782990676,6,10,5,8,25,7,13,4,7,10,7,15,12,13,12,7,6,5,8,6,10,8,8,7,47,3,10,3,7,1,4,4,10,3,11,2,4,1,4,5,8,15,9,2,6,7,4,7,13
3550,25,3.521501862,29,4.212539107,27,41,29,28,86,50,25,23,22,33,33,43,61,61,41,43,22,32,42,30,40,32,25,44,69,16,26,10,21,4,42,28,44,22,30,13,22,13,44,36,36,76,40,24,24,24,23,30,45
3800,51,9.617471823,67,8.769600738,64,61,56,59,80,103,62,55,53,64,78,106,119,108,98,85,69,88,69,76,84,49,83,67,111,36,39,36,60,15,82,51,83,39,80,25,47,45,92,57,125,158,73,54,56,78,53,52,112
3972,12,2.138218991,23,2.856660977,15,12,18,6,25,31,10,5,8,15,14,30,35,13,10,7,9,13,18,10,18,12,9,7,27,7,11,8,12,2,17,12,13,8,6,4,2,4,18,9,10,24,7,9,6,7,17,12,17
4084,323,55.40885946,383,42.79788913,325,399,469,242,1900,802,326,404,312,544,665,1095,779,546,419,551,217,318,334,487,381,373,529,489,611,219,521,157,294,102,451,269,368,219,388,158,202,149,478,294,314,1352,316,246,215,291,513,251,519
4086,49,7.151711481,75,7.413722607,56,55,51,53,51,122,49,42,43,46,86,77,100,67,59,56,37,47,40,41,48,35,55,49,66,22,30,17,48,2,73,36,54,46,52,14,25,31,55,44,55,125,47,31,27,58,50,46,57
4307,11,3.155188193,12,3.093101102,16,18,27,19,41,45,25,15,12,21,23,35,40,20,25,26,10,13,22,21,21,15,18,24,22,12,17,7,13,3,42,11,13,11,13,8,6,9,22,5,24,51,19,13,6,21,22,9,30
4451,14,2.632540109,20,2.862325949,14,16,23,11,48,20,22,19,18,16,18,31,43,31,17,23,15,17,22,14,28,15,20,20,43,7,16,10,15,3,22,23,17,9,17,6,7,3,20,26,20,36,12,13,9,14,13,13,37
4487,74,9.77681533,77,7.798347862,63,57,72,41,47,129,63,62,57,63,114,139,162,78,73,77,51,68,50,78,62,68,84,79,89,35,34,37,47,10,68,61,80,42,69,27,33,48,89,78,74,155,53,34,44,64,90,47,107
4551,37,4.087349433,40,3.406466278,34,24,29,26,34,58,19,20,23,18,38,68,67,40,30,30,18,19,15,30,24,26,39,33,35,14,29,15,25,3,29,21,46,16,25,11,7,12,44,17,31,74,22,12,17,18,20,12,37
4552,10,2.120337378,11,2.008100857,9,16,27,7,32,32,13,24,10,13,19,41,43,38,19,20,18,10,14,12,27,13,14,17,28,10,12,11,11,3,24,16,18,13,22,7,16,7,28,18,19,48,16,16,14,15,16,21,29
gcbC,4,1.888049341,6,1.378538019,12,7,16,9,36,18,11,9,8,12,8,28,30,11,12,15,6,7,13,9,16,4,12,13,19,4,16,8,9,1,9,10,12,4,6,4,3,6,14,6,14,11,5,4,5,5,13,6,15
4876,45,6.65137218,43,7.695930437,53,59,45,38,85,102,69,26,46,55,54,67,101,94,91,48,52,53,83,45,87,69,56,43,109,16,38,22,37,10,61,64,61,29,76,14,32,24,58,58,38,96,47,32,54,35,41,39,46
5150,157,32.24590988,339,15.54526305,183,218,233,175,113,516,195,218,170,206,358,488,440,261,274,283,111,172,161,203,167,167,268,243,236,124,165,111,148,27,280,168,254,152,194,87,102,137,284,145,193,559,198,113,128,173,243,129,231
5168,145,12.92456726,125,10.37891391,96,105,150,78,105,142,83,82,64,107,152,229,212,162,122,78,81,96,91,82,94,87,115,127,415,68,72,60,80,20,204,109,112,94,155,44,51,55,111,82,87,229,56,45,40,60,109,61,179
5255,32,5.419996555,46,4.876091778,49,55,63,32,248,102,40,42,37,61,56,84,113,64,66,57,27,28,37,37,41,52,41,48,125,32,65,23,30,9,65,46,52,37,43,23,20,20,64,36,46,92,42,33,32,35,48,19,72
5518,25,2.617667587,27,2.586231019,24,29,17,23,25,31,25,15,21,14,22,40,53,40,31,51,20,38,29,19,40,19,11,26,34,6,12,11,17,1,19,22,30,18,28,3,6,17,19,20,33,41,18,16,19,19,9,18,41
5643,34,1.44135488,20,1.854250755,13,24,16,12,57,36,24,14,11,13,25,21,46,37,20,15,18,20,20,15,22,16,19,15,48,5,21,10,16,3,18,21,21,17,17,2,6,6,24,15,25,32,17,7,22,19,11,10,20
0958,22,4.846712723,28,9.891423301,58,28,32,20,70,42,31,24,19,27,29,44,59,41,29,32,19,21,21,21,20,32,21,29,18,43,103,13,44,11,39,56,37,38,84,38,22,15,60,25,29,155,30,25,15,18,29,16,49
1532,1351,170.1170571,1493,136.4982268,1079,1143,1557,1013,1500,1913,1351,1107,1074,1226,1759,2571,2688,2181,1706,1306,953,1301,1195,1117,1365,1170,1291,1326,3377,690,814,598,983,229,1462,1140,1535,939,1692,497,625,741,1592,1024,1348,2674,985,749,811,936,1244,843,2012
3860,574,81.46479121,588,82.08271829,605,629,594,474,1006,942,880,499,541,481,582,943,1254,1177,921,636,489,742,806,553,689,712,569,732,1398,230,296,301,512,108,708,620,789,383,831,263,346,386,855,634,750,1330,648,526,590,537,400,510,688
3976,18,4.465526532,30,2.195940792,26,24,33,18,27,50,20,26,23,30,40,40,59,39,31,46,14,23,19,28,34,32,40,29,34,10,17,15,20,3,30,25,32,16,35,12,10,14,40,21,22,73,22,14,11,22,22,17,29
4008,323,91.63624717,765,81.42155018,739,713,998,510,370,1532,731,681,561,818,1226,1604,1697,1158,1011,1045,416,570,662,906,721,767,1078,1208,454,358,360,385,512,105,751,507,790,513,656,285,551,429,1315,545,694,2313,800,452,461,552,703,482,670
4150,765,114.4939642,944,152.0196311,877,907,1028,634,731,1705,1189,891,798,883,1146,1734,1931,1403,1002,1138,554,849,862,959,793,810,967,1041,1213,361,529,396,675,74,1134,673,958,570,994,274,484,501,1366,692,898,2295,841,615,722,676,738,559,1045
4257,423,48.69180607,407,22.57480833,326,281,299,258,244,714,357,254,265,473,627,734,619,555,408,379,275,349,418,368,473,365,385,358,781,196,222,164,307,69,318,341,387,267,473,93,193,211,538,338,265,820,327,237,205,275,385,241,442
4884,92,22.43634042,209,18.68413185,139,126,249,97,139,343,119,148,161,153,256,421,298,220,178,239,68,133,115,198,107,123,260,242,156,76,66,95,99,37,210,70,124,85,118,58,93,74,202,95,202,461,149,86,98,101,162,96,194