Gene,Environment,K10,K10 low phosphate,Arginine,M63 Arginine,Xylopyranoside,L Methionine,D Saccharic Acid,D Arabinose,Pyruviate ,Citrate,One G P
Pfl01_0048,Liquid,499.5,381,155,189,186,167,691,311,464,789,352
Pfl01_0050,Liquid,137.5,121,118,87,119,107,110,108,112,115,97
lapD,Liquid,376,305,210,265,247,212,513,286,359,212,352
Pfl01_0190,Liquid,184.5,119,183,288,183,216,55,214,159,212,273
Pfl01_0192,Liquid,181,140,111,62,127,130,73,121,98,76,100
Pfl01_0264,Liquid,715.5,752,252,451,311,292,929,564,688,583,582
Pfl01_0460,Liquid,1453,1145,415,848,581,516,1762,1577,1531,1508,1548
gcbA,Liquid,1475.5,1283,588,1359,802,437,1621,1407,1531,779,1530
Pfl01_0692,Liquid,240,188,72,69,60,60,279,84,108,94,52
wspR,Liquid,666,602,193,309,247,207,815,586,654,449,501
Pfl01_1252,Liquid,45,60,41,20,38,39,46,26,24,8,31
Pfl01_1323,Liquid,755,356,146,174,185,168,746,266,505,196,223
Pfl01_1336,Liquid,141,228,137,172,123,112,179,172,163,154,157
Pfl01_1463,Liquid,253,235,87,71,178,161,472,295,369,44,289
rapA,Liquid,88,884,122,96,139,112,87,61,58,165,58
gcbB,Liquid,279,203,128,149,133,130,380,162,237,193,136
Pfl01_1887,Liquid,884,949,147,381,253,196,1337,594,1203,251,554
Pfl01_2049,Liquid,728.5,734,277,507,403,347,1016,857,918,496,774
Pfl01_2170,Liquid,35,41,74,45,67,67,46,48,41,18,31
Pfl01_2176,Liquid,534,430,123,191,167,117,604,280,552,81,181
Pfl01_2295,Liquid,154,99,103,94,97,86,124,60,102,73,55
Pfl01_2297,Liquid,73.5,75,54,53,52,42,46,46,54,29,39
Pfl01_2525,Liquid,70,67,88,55,79,76,78,68,58,76,68
Pfl01_2709,Liquid,490.5,249,75,114,79,67,609,127,301,50,121
Pfl01_2920,Liquid,191,166,113,86,117,101,220,127,166,97,131
Pfl01_3039,Liquid,23.5,37,35,16,33,34,37,15,41,16,13
Pfl01_3508,Liquid,45,51,38,32,57,43,50,68,68,37,58
Pfl01_3550,Liquid,88.5,104,89,89,91,85,105,86,47,97,118
Pfl01_3800,Liquid,607,394,123,127,141,128,494,195,356,131,231
Pfl01_3972,Liquid,68.5,77,76,45,67,71,55,84,41,50,50
Pfl01_4084,Liquid,1248,792,248,416,413,324,1515,750,1169,901,779
Pfl01_4086,Liquid,485,447,149,204,154,139,577,200,417,125,178
Pfl01_4307,Liquid,64,155,95,68,94,71,82,46,71,50,60
Pfl01_4451,Liquid,52,49,99,93,81,79,37,58,30,37,37
Pfl01_4487,Liquid,435,273,76,138,79,64,558,154,264,214,155
Pfl01_4551,Liquid,192.5,256,132,106,136,118,330,144,173,60,100
Pfl01_4552,Liquid,96.5,120,121,68,100,102,92,56,105,24,50
gcbC,Liquid,52,50,39,33,33,35,82,35,47,21,37
Pfl01_4876,Liquid,106.5,103,101,130,109,108,64,142,71,110,142
Pfl01_5150,Liquid,2420.5,1190,213,395,309,233,3131,813,1829,408,714
Pfl01_5168,Liquid,353,320,229,322,268,229,462,513,362,269,443
Pfl01_5255,Liquid,264,219,161,190,208,205,284,290,237,102,255
Pfl01_5518,Liquid,119,63,43,57,53,41,119,63,102,29,50
Pfl01_5643,Liquid,45,50,60,50,60,61,50,53,61,37,45
Pfl01_0958,Liquid,58.5,64,93,80,79,79,50,50,58,76,42
Pfl01_1532,Liquid,2855,2475,851,2211,1555,1134,4381,3353,3784,1994,3458
Pfl01_3860,Liquid,1395.5,1639,523,1444,783,717,1675,1718,1680,993,1582
Pfl01_4008,Liquid,3262,3071,441,1117,884,499,4692,2039,4072,719,1957
Pfl01_4150,Liquid,4462.5,3749,823,1881,1050,722,5132,2410,3489,2245,2346
Pfl01_4257,Liquid,534.5,501,201,572,300,216,728,751,698,434,750
Pfl01_4884,Liquid,1332,742,236,218,203,147,1529,430,1443,376,404
Pfl01_5111,Liquid,67.5,100,64,65,88,68,110,88,30,68,94
Pfl01_0048,Solid,120,125,181,160,219,149,199,360,306,312,283
Pfl01_0050,Solid,99,90,133,116,125,119,89,123,128,140,87
lapD,Solid,258,200,232,224,200,222,228,214,228,240,275
Pfl01_0190,Solid,216.5,212,158,217,328,268,181,349,245,258,245
Pfl01_0192,Solid,146,128,118,121,134,144,94,103,108,136,112
Pfl01_0264,Solid,428,558,265,308,327,231,526,618,656,670,499
Pfl01_0460,Solid,777,380,518,525,591,396,1253,1311,1478,973,1462
gcbA,Solid,163,163,177,233,296,149,348,364,384,335,275
Pfl01_0692,Solid,55.5,56,51,58,74,64,55,62,52,50,76
wspR,Solid,411.5,360,259,285,213,189,583,510,616,597,469
Pfl01_1252,Solid,17.5,31,29,25,45,45,10,29,17,9,18
Pfl01_1323,Solid,162.5,158,149,171,171,153,175,214,237,281,219
Pfl01_1336,Solid,180.5,169,230,198,249,193,374,372,347,244,222
Pfl01_1463,Solid,64,69,79,126,211,116,173,374,217,86,232
rapA,Solid,57.5,343,93,106,127,141,39,51,52,299,54
gcbB,Solid,72,85,100,110,130,101,191,166,193,154,140
Pfl01_1887,Solid,159.5,132,135,223,234,159,317,460,591,267,484
Pfl01_2049,Solid,279.5,215,212,240,302,227,453,686,591,376,471
Pfl01_2170,Solid,48,57,39,60,78,75,26,25,37,32,48
Pfl01_2176,Solid,92,105,105,119,119,107,86,166,195,118,163
Pfl01_2295,Solid,112.5,106,95,94,93,104,73,49,57,131,64
Pfl01_2297,Solid,38,58,42,46,53,46,26,21,33,32,36
Pfl01_2525,Solid,67,65,58,83,97,91,63,39,48,45,69
Pfl01_2709,Solid,70,70,56,66,67,76,68,74,109,54,89
Pfl01_2920,Solid,83.5,83,77,91,108,122,89,132,108,100,117
Pfl01_3039,Solid,25,30,25,32,37,39,3,23,20,27,28
Pfl01_3508,Solid,20.5,21,29,28,37,36,26,21,26,27,15
Pfl01_3550,Solid,100.5,109,78,85,91,106,68,94,78,63,74
Pfl01_3800,Solid,135.5,141,107,129,136,127,139,218,182,149,173
Pfl01_3972,Solid,49,69,51,67,85,80,31,64,63,63,41
Pfl01_4084,Solid,372,354,304,427,633,343,874,1375,1036,579,881
Pfl01_4086,Solid,88,117,109,146,157,136,133,208,202,149,153
Pfl01_4307,Solid,47,55,69,64,97,99,29,57,33,59,43
Pfl01_4451,Solid,58,63,64,73,82,93,39,33,54,68,38
Pfl01_4487,Solid,83.5,80,83,114,139,75,201,255,210,136,171
Pfl01_4551,Solid,79.5,107,96,121,147,140,99,148,109,54,92
Pfl01_4552,Solid,72.5,101,81,85,111,110,26,43,30,14,25
gcbC,Solid,28.5,35,27,42,37,43,10,31,17,23,33
Pfl01_4876,Solid,129,100,85,120,98,103,123,144,117,113,143
Pfl01_5150,Solid,175,159,171,306,293,179,426,822,920,299,497
Pfl01_5168,Solid,238.5,198,165,263,261,185,392,325,337,163,260
Pfl01_5255,Solid,113.5,115,113,153,171,175,86,162,124,86,132
Pfl01_5518,Solid,45.5,56,58,65,53,57,68,58,72,32,66
Pfl01_5643,Solid,81,68,70,73,65,75,92,33,54,18,36
Pfl01_0958,Solid,71.5,82,82,77,100,127,60,123,76,231,158
Pfl01_1532,Solid,1839.5,1130,1239,1459,1766,883,3660,3768,4045,1634,2922
Pfl01_3860,Solid,1081,777,819,757,595,545,1554,1759,1593,1308,1638
Pfl01_4008,Solid,483.5,416,656,797,698,455,874,2106,2071,1362,2002
Pfl01_4150,Solid,1209,1132,1186,1187,943,644,2072,2673,2557,2594,2374
Pfl01_4257,Solid,534,409,287,376,491,229,1146,972,1101,385,884
Pfl01_4884,Solid,98,123,163,180,232,173,249,575,565,326,377
Pfl01_5111,Solid,104.5,132,76,62,69,66,107,49,56,18,71